condition,preset,call_id,trial,seed,length_bin,response_note_count,response_duration_sec,t_endpoint_commit_ms,t_infer_start_ms,t_first_token_ready_ms,t_first_midi_queued_ms,t_first_midi_out_ms,t_response_end_ms,endpoint_to_first_midi_ms,first_token_latency_ms,queue_delay_ms,total_generation_ms,buffer_underrun_count,buffer_underrun_rate,preload_window_ms,micro_buffer_ms,source_latency_event
L1_preload_on,pentatonic_no_theory,A02,13,32273782,medium,10,4.800000,0.000000,-150.000000,-103.085400,0.000000,80.000000,4880.000000,80.000000,46.914600,80.000000,1179.219000,0,0.000000,150.000000,80.000000,28
L0_preload_off,pentatonic_no_theory,A02,14,32274791,medium,11,4.800000,0.000000,0.000000,54.872900,54.872900,134.872900,4934.872900,134.872900,54.872900,80.000000,617.202000,0,0.000000,0.000000,80.000000,29
L1_preload_on,pentatonic_no_theory,A02,14,32274791,medium,11,4.800000,0.000000,-150.000000,-95.127100,0.000000,80.000000,4880.000000,80.000000,54.872900,80.000000,617.202000,0,0.000000,150.000000,80.000000,29
L0_preload_off,pentatonic_no_theory,A02,15,32275800,medium,12,4.800000,0.000000,0.000000,50.742600,50.742600,130.742600,4930.742600,130.742600,50.742600,80.000000,1806.854000,0,0.000000,0.000000,80.000000,30
L1_preload_on,pentatonic_no_theory,A02,15,32275800,medium,12,4.800000,0.000000,-150.000000,-99.257400,0.000000,80.000000,4880.000000,80.000000,50.742600,80.000000,1806.854000,0,0.000000,150.000000,80.000000,30
L0_preload_off,pentatonic_no_theory,A03,1,33261677,medium,10,4.800000,0.000000,0.000000,105.040100,105.040100,185.040100,4985.040100,185.040100,105.040100,80.000000,745.106000,1,1.000000,0.000000,80.000000,31
L1_preload_on,pentatonic_no_theory,A03,1,33261677,medium,10,4.800000,0.000000,-150.000000,-44.959900,0.000000,80.000000,4880.000000,80.000000,105.040100,80.000000,745.106000,0,0.000000,150.000000,80.000000,31
L0_preload_off,pentatonic_no_theory,A03,2,33262686,medium,13,4.800000,0.000000,0.000000,52.043000,52.043000,132.043000,4932.043000,132.043000,52.043000,80.000000,1034.512000,0,0.000000,0.000000,80.000000,32
L1_preload_on,pentatonic_no_theory,A03,2,33262686,medium,13,4.800000,0.000000,-150.000000,-97.957000,0.000000,80.000000,4880.000000,80.000000,52.043000,80.000000,1034.512000,0,0.000000,150.000000,80.000000,32
L0_preload_off,pentatonic_no_theory,A03,3,33263695,medium,14,4.800000,0.000000,0.000000,61.089600,61.089600,141.089600,4941.089600,141.089600,61.089600,80.000000,960.082000,0,0.000000,0.000000,80.000000,33
L1_preload_on,pentatonic_no_theory,A03,3,33263695,medium,14,4.800000,0.000000,-150.000000,-88.910400,0.000000,80.000000,4880.000000,80.000000,61.089600,80.000000,960.082000,0,0.000000,150.000000,80.000000,33
L0_preload_off,pentatonic_no_theory,A03,4,33264704,medium,13,4.800000,0.000000,0.000000,55.060900,55.060900,135.060900,4935.060900,135.060900,55.060900,80.000000,1214.668000,0,0.000000,0.000000,80.000000,34
L1_preload_on,pentatonic_no_theory,A03,4,33264704,medium,13,4.800000,0.000000,-150.000000,-94.939100,0.000000,80.000000,4880.000000,80.000000,55.060900,80.000000,1214.668000,0,0.000000,150.000000,80.000000,34
