call_id,origin,source_dataset,category,sub_category,preset,candidate,trial,seed,source_experiment,source_variant,score_version,response_midi_file,response_midi_sha256,previous_objective_score,rescore_abs_drift,objective_score,style_compliance_score,non_style_structural_score,tonality_score,rhythm_score,interval_score,repetition_score,pitch_diversity_score,compression_score,pche,upc,psr,tone_span_ratio,cpr,longest_repeat_run,strong_beat_stable_rate,qualified_note_rate,qualified_rhythm_rate,groove_similarity,cadence_score,max_abs_interval,note_count,duration_seconds
R02,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,9,142269996,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3631_response_only.mid,2227cc7fbca94743e6a32798419070815fa5b919ad1b1a14ecb974355045dd45,0.685811,0.000000459,0.685811,0.890873,0.537319,1.000000,0.770833,0.742857,0.228571,0.393211,0.863095,1.548795,4.000000,1.000000,0.000000,0.285714,3.000000,1.000000,1.000000,0.500000,0.812500,1.000000,7.000000,8.000000,5.328000
P046,public_midi_extract,POP909,false_ending_pause,two_bar_pop909_bridge,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,10,136270987,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3634_response_only.mid,ea4a6b9c741216fd313a0423ebaa18efe200acc3df8d4235c0858ad47d89774b,0.673324,0.000000296,0.673324,0.935516,0.483460,1.000000,0.864583,0.742857,0.228571,0.126923,0.923521,1.500000,3.000000,1.000000,0.000000,0.285714,3.000000,1.000000,1.000000,0.750000,0.843750,1.000000,7.000000,8.000000,5.724000
P021,public_midi_extract,POP909,chord_arpeggio_polyphonic,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,6,111266876,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3635_response_only.mid,bb439c16c5c58ddfde484414622fe359e15a192170b9ee2880b0718cf3640842,0.794612,0.000000311,0.794612,0.865741,0.743104,1.000000,0.718056,0.542857,0.857143,0.921924,0.670741,2.092272,5.000000,1.000000,0.071429,0.071429,2.000000,1.000000,0.933333,0.533333,0.687500,1.000000,10.000000,15.000000,5.748000
A08,artificial_stress,calls_50,dense_motion,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,5,88265798,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3636_response_only.mid,bf1307e2a9a6335553d25f3ee009e7ce4b4e1c341da38fcc57c1d824f8d5daa0,0.618770,0.000000374,0.618770,0.833333,0.463396,0.833333,0.833333,0.828571,0.085714,0.512254,0.341969,1.689482,4.000000,1.000000,0.000000,0.357143,3.000000,0.500000,1.000000,1.000000,0.500000,1.000000,5.000000,15.000000,5.172000
P029,public_midi_extract,POP909,sparse_short,two_bar_pop909_melody,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,13,119273963,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3637_response_only.mid,4de66a6a00add4961f4e59a0036261488bfd6a725fb226c6f5767afaeed9c7ad,0.511278,0.000000222,0.511278,0.917328,0.217241,1.000000,0.826389,0.700000,0.000000,0.000000,0.000000,0.918296,2.000000,1.000000,0.000000,0.500000,2.000000,1.000000,1.000000,0.666667,0.812500,1.000000,7.000000,3.000000,5.328000
R30,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,12,170273107,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3641_response_only.mid,457fbf8dead76c67270d09366f5ca88085f84a3ef46740dbc03dece0f6fcf409,0.851352,0.000000074,0.851352,0.950397,0.779630,1.000000,0.895833,0.812500,0.875000,0.887134,0.417367,2.133387,5.000000,1.000000,0.000000,0.062500,2.000000,1.000000,1.000000,1.000000,0.687500,1.000000,5.000000,17.000000,5.328000
P033,public_midi_extract,POP909,sparse_short,two_bar_pop909_melody,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,3,123263885,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3644_response_only.mid,c30325e524869bd511e5684b65d104d3cedf1255d4c0418eab8b74caa8010eee,0.617278,0.000000222,0.617278,0.917328,0.400000,1.000000,0.826389,0.400000,1.000000,0.000000,0.000000,0.918296,2.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.666667,0.812500,1.000000,5.000000,3.000000,5.328000
P015,public_midi_extract,POP909,expressive_rubato,two_bar_pop909_bridge,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,6,105266858,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3646_response_only.mid,287689f0f4b38f62739581dd8de2c6999502c27c8ed7c5fb7506cf292d082c23,0.711581,0.000000413,0.711581,0.708995,0.713455,1.000000,0.388889,0.454545,1.000000,0.840312,0.543417,2.188722,5.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.250000,0.166667,0.750000,1.000000,7.000000,12.000000,5.688000
R10,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,2,150262957,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S364_response_only.mid,60ab697d9cdb3a186cd580b7fa5bbae4a7a3a40e8159598fc379fecc6fd4d7ed,0.748978,0.000000430,0.748978,0.955357,0.599532,1.000000,0.906250,0.509091,0.818182,0.478865,0.581419,1.650022,4.000000,1.000000,0.000000,0.090909,2.000000,1.000000,1.000000,1.000000,0.718750,1.000000,7.000000,12.000000,5.328000
P031,public_midi_extract,POP909,sparse_short,two_bar_pop909_melody,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,9,121269933,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3650_response_only.mid,c8ae20ffe0f205c45f9da8d360ee53be5e6ffd76ea00b56da818900cf2283bde,0.571778,0.000000464,0.571778,0.742725,0.447990,0.666667,0.826389,0.400000,1.000000,0.198814,0.000000,1.584963,3.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.666667,0.812500,1.000000,7.000000,3.000000,5.328000
